Time (Sec);S1;S2;S4;S6;S8;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.12666666666666668;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.22666666666666668;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.32666666666666666;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.42666666666666664;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.5266666666666666;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.6266666666666666;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.7266666666666666;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.8266666666666665;19160.0;19160.0;19160.0;19159.9897088;19160.0;
0.9266666666666665;19160.0;19160.0;19160.0;19159.9897088;19160.0;
1.0266666666666666;19160.0;19160.0;19160.0;19159.9897088;19160.0;
1.1266666666666665;19160.0;19160.0;19160.0;19159.9896088;19160.0;
1.2266666666666666;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
1.3266666666666667;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
1.4266666666666667;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
1.5266666666666668;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
1.626666666666667;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
1.726666666666667;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
1.826666666666667;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
1.9266666666666672;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
2.0266666666666673;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
2.1266666666666674;19160.0;19159.9999;19159.9999;19159.9896088;19159.9999;
2.2266666666666675;19160.0;19159.9999;19159.9999;19159.989508799998;19159.9999;
2.3266666666666675;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
2.4266666666666676;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
2.5266666666666677;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
2.626666666666668;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
2.726666666666668;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
2.826666666666668;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
2.926666666666668;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
3.026666666666668;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
3.1266666666666683;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
3.2266666666666683;19160.0;19159.999799999998;19159.999799999998;19159.989508799998;19159.999799999998;
3.3266666666666684;19160.0;19159.999799999998;19159.999799999998;19159.989408799996;19159.999799999998;
3.4266666666666685;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
3.5266666666666686;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
3.6266666666666687;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
3.726666666666669;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
3.826666666666669;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
3.926666666666669;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
4.026666666666669;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
4.126666666666669;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
4.226666666666668;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
4.326666666666668;19160.0;19159.999699999997;19159.999699999997;19159.989408799996;19159.999699999997;
4.4266666666666685;19160.0;19159.999699999997;19159.999699999997;19159.989308799995;19159.999699999997;
4.526666666666669;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
4.62666666666667;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
4.726666666666669;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
4.826666666666669;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
4.9266666666666685;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
5.026666666666668;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
5.126666666666668;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
5.2266666666666675;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
5.326666666666667;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
5.426666666666667;19160.0;19159.999599999996;19159.999599999996;19159.989308799995;19159.999599999996;
5.526666666666667;19160.0;19159.999599999996;19159.999599999996;19159.989208799994;19159.999599999996;
5.626666666666668;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
5.726666666666668;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
5.826666666666668;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
5.926666666666668;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
6.000000000000006;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
6.126666666666668;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
6.2266666666666675;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
6.326666666666667;19160.0;19159.999499999994;19159.999499999994;19159.989208799994;19159.999499999994;
